,,,
"Tensile Creep Modulus, 1 hour ",1800 - 2200 MPa,261000 - 319000 psi,Average value: 2080 MPa Grade Count:5
"Tensile Creep Modulus, 1000 hours ",1300 - 1800 MPa,189000 - 261000 psi,Average value: 1630 MPa Grade Count:8
,,,
Electrical Properties,Metric,English,Comments
Electrical Resistivity ,100 - 1.00e+18 ohm-cm,100 - 1.00e+18 ohm-cm,Average value: 1.08e+17 ohm-cm Grade Count:109
Surface Resistance ,100 - 1.50e+15 ohm,100 - 1.50e+15 ohm,Average value: 3.29e+14 ohm Grade Count:91
Static Decay ,0.0100 - 2.00 sec,0.0100 - 2.00 sec,Average value: 0.362 sec Grade Count:6
Dielectric Constant ,2.00 - 3.00,2.00 - 3.00,Average value: 2.46 Grade Count:101
Dielectric Strength ,15.7 - 155 kV/mm,400 - 3940 kV/in,Average value: 48.7 kV/mm Grade Count:121
Dissipation Factor ,0.000100 - 0.00100,0.000100 - 0.00100,Average value: 0.000365 Grade Count:54
Arc Resistance ,60.0 - 180 sec,60.0 - 180 sec,Average value: 119 sec Grade Count:16
Comparative Tracking Index ,250 - 600 V,250 - 600 V,Average value: 454 V Grade Count:55
"Hot Wire Ignition, HWI ",7.00 - 60.0 sec,7.00 - 60.0 sec,Average value: 20.0 sec Grade Count:14
"High Amp Arc Ignition, HAI ",60.0 - 120 arcs,60.0 - 120 arcs,Average value: 112 arcs Grade Count:14
"High Voltage Arc-Tracking Rate, HVTR ",10.0 - 80.0 mm/min,0.394 - 3.15 in/min,Average value: 37.1 mm/min Grade Count:13
,,,
Thermal Properties,Metric,English,Comments
"CTE, linear ",7.20 - 100 µm/m-°C,4.00 - 55.6 µin/in-°F,Average value: 80.6 µm/m-°C Grade Count:138
Specific Heat Capacity ,1.79 - 2.20 J/g-°C,0.428 - 0.526 BTU/lb-°F,Average value: 2.06 J/g-°C Grade Count:5
Thermal Conductivity ,0.134 - 0.188 W/m-K,0.930 - 1.30 BTU-in/hr-ft²-°F,Average value: 0.169 W/m-K Grade Count:27
"Maximum Service Temperature, Air ",80.0 - 97.8 °C,176 - 208 °F,Average value: 91.6 °C Grade Count:15
Hot Ball Pressure Test ,75.0 - 80.0 °C,167 - 176 °F,Average value: 78.3 °C Grade Count:3
Deflection Temperature at 0.46 MPa (66 psi) ,60.0 - 104 °C,140 - 220 °F,Average value: 87.4 °C Grade Count:129
Deflection Temperature at 1.8 MPa (264 psi) ,31.1 - 137 °C,88.0 - 279 °F,Average value: 81.9 °C Grade Count:383
Vicat Softening Point ,35.0 - 113 °C,95.0 - 235 °F,Average value: 95.6 °C Grade Count:439
Heat Distortion Temperature ,77.2 - 93.9 °C,171 - 201 °F,Average value: 87.0 °C Grade Count:11
"UL RTI, Electrical ",50.0 °C,122 °F,Average value: 50.0 °C Grade Count:8
"UL RTI, Mechanical with Impact ",50.0 °C,122 °F,Average value: 50.0 °C Grade Count:8
"UL RTI, Mechanical without Impact ",50.0 °C,122 °F,Average value: 50.0 °C Grade Count:8
"Flammability, UL94 ",HB - 5VA,HB - 5VA,Grade Count:311
Flame Spread ,28.0 - 34.0 mm/min,1.10 - 1.34 in/min,Average value: 29.3 mm/min Grade Count:6
Oxygen Index ,18.00%,18.00%,Average value: 18.0 % Grade Count:19
Glow Wire Test ,650 - 960 °C,1200 - 1760 °F,Average value: 707 °C Grade Count:19
,,,
Optical Properties,Metric,English,Comments
Haze ,1.00 - 30.0 %,1.00 - 30.0 %,Average value: 5.47 % Grade Count:12
Gloss ,9.00 - 98.0 %,9.00 - 98.0 %,Average value: 67.4 % Grade Count:103
"Transmission, Visible ",82.0 - 89.0 %,82.0 - 89.0 %,Average value: 86.6 % Grade Count:11
,,,
Processing Properties,Metric,English,Comments
Processing Temperature ,95.6 - 280 °C,204 - 536 °F,Average value: 210 °C Grade Count:38
Nozzle Temperature ,188 - 260 °C,370 - 500 °F,Average value: 221 °C Grade Count:26
Die Temperature ,199 - 232 °C,390 - 450 °F,Average value: 216 °C Grade Count:8
Melt Temperature ,80.0 - 300 °C,176 - 572 °F,Average value: 217 °C Grade Count:182
Mold Temperature ,4.00 - 100 °C,39.2 - 212 °F,Average value: 49.2 °C Grade Count:150
Injection Velocity ,200 mm/sec,7.87 in/sec,Average value: 200 mm/sec Grade Count:10
Drying Temperature ,60.0 - 160 °C,140 - 320 °F,Average value: 79.4 °C Grade Count:54
Moisture Content ,0.100 - 0.250 %,0.100 - 0.250 %,Average value: 0.194 % Grade Count:8
Injection Pressure ,2.76 - 137 MPa,400 - 19900 psi,Average value: 77.7 MPa Grade Count:11
