Hot Ball Pressure Test ,75.0 - 85.0 °C,167 - 185 °F,Average value: 80.3 °C Grade Count:13
Deflection Temperature at 0.46 MPa (66 psi) ,70.0 - 96.1 °C,158 - 205 °F,Average value: 84.6 °C Grade Count:20
Deflection Temperature at 1.8 MPa (264 psi) ,60.0 - 91.0 °C,140 - 196 °F,Average value: 79.0 °C Grade Count:80
Vicat Softening Point ,80.0 - 219 °C,176 - 426 °F,Average value: 94.2 °C Grade Count:93
Heat Distortion Temperature ,78.9 - 94.0 °C,174 - 201 °F,Average value: 84.2 °C Grade Count:6
"UL RTI, Electrical ",50.0 °C,122 °F,Average value: 50.0 °C Grade Count:5
"UL RTI, Mechanical with Impact ",50.0 °C,122 °F,Average value: 50.0 °C Grade Count:5
"UL RTI, Mechanical without Impact ",50.0 °C,122 °F,Average value: 50.0 °C Grade Count:5
"Flammability, UL94 ",V-2 - 5VA,V-2 - 5VA,Grade Count:110
Oxygen Index ,26.00%,26.00%,Average value: 26.0 % Grade Count:6
Glow Wire Test ,650 - 960 °C,1200 - 1760 °F,Average value: 879 °C Grade Count:21
,,,
Processing Properties,Metric,English,Comments
Processing Temperature ,160 - 250 °C,320 - 482 °F,Average value: 243 °C Grade Count:23
Nozzle Temperature ,200 - 232 °C,392 - 450 °F,Average value: 213 °C Grade Count:9
Melt Temperature ,160 - 300 °C,320 - 572 °F,Average value: 217 °C Grade Count:61
Mold Temperature ,10.0 - 80.0 °C,50.0 - 176 °F,Average value: 46.2 °C Grade Count:53
Drying Temperature ,60.0 - 90.0 °C,140 - 194 °F,Average value: 70.6 °C Grade Count:49
Injection Pressure ,60.0 - 103 MPa,8700 - 15000 psi,Average value: 82.1 MPa Grade Count:4
