,,,
"High Voltage Arc-Tracking Rate, HVTR ",10.0 - 25.4 mm/min,0.394 - 1.00 in/min,Average value: 15.8 mm/min Grade Count:4
,,,
Thermal Properties,Metric,English,Comments
"CTE, linear ",40.0 - 90.0 µm/m-°C,22.2 - 50.0 µin/in-°F,Average value: 75.2 µm/m-°C Grade Count:27
Thermal Conductivity ,0.170 W/m-K,1.18 BTU-in/hr-ft²-°F,Average value: 0.170 W/m-K Grade Count:12
Deflection Temperature at 0.46 MPa (66 psi) ,70.0 - 108 °C,158 - 226 °F,Average value: 87.7 °C Grade Count:31
Deflection Temperature at 1.8 MPa (264 psi) ,62.0 - 98.0 °C,144 - 208 °F,Average value: 81.3 °C Grade Count:112
Vicat Softening Point ,70.0 - 108 °C,158 - 226 °F,Average value: 95.0 °C Grade Count:143
"Glass Transition Temp, Tg ",83.0 - 100 °C,181 - 212 °F,Average value: 90.5 °C Grade Count:6
"Flammability, UL94 ",HB - V-0,HB - V-0,Grade Count:91
Flame Spread ,26.0 - 35.0 mm/min,1.02 - 1.38 in/min,Average value: 27.9 mm/min Grade Count:8
Oxygen Index ,18.0 - 25.0 %,18.0 - 25.0 %,Average value: 19.6 % Grade Count:8
Glow Wire Test ,650 - 850 °C,1200 - 1560 °F,Average value: 670 °C Grade Count:14
,,,
Optical Properties,Metric,English,Comments
Refractive Index ,1.59 - 1.59,1.59 - 1.59,Average value: 1.59 Grade Count:7
Haze ,0.350 - 88.0 %,0.350 - 88.0 %,Average value: 13.1 % Grade Count:7
"Transmission, Visible ",1.00 - 92.0 %,1.00 - 92.0 %,Average value: 86.1 % Grade Count:27
,,,
Processing Properties,Metric,English,Comments
Processing Temperature ,190 - 300 °C,374 - 572 °F,Average value: 223 °C Grade Count:6
Melt Temperature ,40.0 - 280 °C,104 - 536 °F,Average value: 217 °C Grade Count:56
Mold Temperature ,10.0 - 82.0 °C,50.0 - 180 °F,Average value: 41.8 °C Grade Count:49
Injection Velocity ,200 mm/sec,7.87 in/sec,Average value: 200 mm/sec Grade Count:3
Drying Temperature ,60.0 - 85.0 °C,140 - 185 °F,Average value: 72.0 °C Grade Count:23
Moisture Content ,0.0300 - 0.250 %,0.0300 - 0.250 %,Average value: 0.148 % Grade Count:10
